nombre app,url,descripción,numRatings,ratings4,ratings5,recentChanges,reviews
Body temperature Scanner 2017,https://play.google.com/store/apps/details?id=com.appmatrix.fingerPrint.blood.pressure.temperature.calculator.simultor.stress.scanner,"Doctor Body temperature Scanner 2017 es una aplicación divertida gratis que simula una temperatura de la sangre con un escáner. La presión arterial del dedo es una aplicación divertida que simula un termómetro de temperatura corporal con un escáner de dedos. La temperatura del cuerpo se medirá y se mostrará como grado Celsius o grados Fahrenheit después de que el escáner de huellas digitales escanea su dedo. Doctor Body temperature Scanner Prank con gráficos UI realistas y excelentes sonidos. Al pulsar el dedo en el escáner de huellas dactilares, la barra del escáner explorará, la pantalla mostrará el diagrama del termómetro dinámico. Después de la exploración, el resultado de su temperatura corporal se mostrará como dos tipos de unidades de medición, grado Celsius o grado Fahrenheit. Renuncia: Doctor Body temperature Scanner es una aplicación simulada para fines de entretenimiento. De hecho, no puede medir la temperatura corporal o la frecuencia cardíaca. Los resultados mostrados son números aleatorios. Es la mejor aplicación para engañar a tus amigos.",890,4.3,143,608,[],"[Funciona hoy..hot, Me tomé la temperatura con termómetro y obvio tengo frienrey acá me da 37.4, Muy buena, publicidad es parte del costo....nada es gratis en la vida...., Tengo temperatura y me a yudado a saber mi estado de salud, Me tomé la temperatura estando egripado me da 37 a Mi nene que está sano le da 37 le tomo a mi señora le da 37 .no sirve, No toma la temperatura correcta!!! No la descargues!!!!!!]"
Calculate by QxMD,https://play.google.com/store/apps/details?id=com.qxmd.calculate,"From the maker of the apps 'Read', 'The ECG Guide' and 'Pedi STAT' comes 'Calculate', a next-generation medical calculator and decision support tool, freely available to the medical community. Also available on the web at http://qxmd.com/calculate Essential tools in General Practice, Internal Medicine, Cardiology, Surgery, Obstetrics, Nephrology, Hematology, Orthopedics, Pediatrics, Gastroenterology, Neurology, Neurosurgery, Respirology, and more. ""We recommend medical users try the free Calculate by QxMD first..."" -from iMedicalApps review ""The best free Medical Calculator apps for the iPhone"" 'Calculate' is focused on highlighting tools which are actually useful in clinical practice and serve to impact diagnosis, treatment or determining prognosis. Helping you make decisions, not just calculate numbers... Features • Developed by a collaboration of clinician experts from diverse backgrounds • Converts recent research publications into practical handheld tools - knowledge translation at its best • Automatically adapts to your self-described clinical practice • Unique ‘Question Flow’ technology gets you answers, fast • Detailed references with Pubmed integration • Comprehensive and insightful results • Elegant design and intuitive interface • SI and Conventional units More than 300 unique calculators and decision support tools While too extensive to list them all, here is a small sampling of included content: Reduce and predict perioperative complications • WHO Surgical Safety Checklist • Predictive models for cardiac surgery and coronary angiography Guide treatment • Determine cardiovascular risk and guide lipid treatment using the Framingham and Reynolds Risk Scores • Use the CHA2DS2-VASc score to guide treatment in atrial fibrillation • Better understand the risk of bleeding from anticoagulation in atrial fibrillation • ACS using the TIMI risk score • Burns with rule of 9s and Parkland formula • Hypernatremia (calculate water deficit) Determine Prognosis • Heart failure • Lymphoma • Myelodysplastic Syndrome • Myeloma • Glomerulonephritis • Hemodialysis • COPD • TIA • Pancreatitis Calculate • Ideal body weight, BMI and BSA • Due date and gestational age • Extensive formula used in echocardiogropathy and invasive hemodynamic monitoring • Kt/V in dialysis patients • eGFR with CKD-EPI, Cockcroft-Gault and MDRD • A-a gradient Classify • Angina (CCS) • Congestive heart failure (NYHA) Manage • Head, neck, ankle and knee injuries • DVT and PE • Pulmonary nodules Stage • Lung cancer • Renal cell carcinoma Understand • TTKG (transtubular potassium gradient) in hypokalemia and hyperkalemia • Dermatomes Diagnose • Heparin Induced Thrombocytopenia • Infective Endocarditis • ARDS • Autoimmune Hepatitis And much more... Want to keep up with medical research? Get 'Read by QxMD' for Android: http://qx.md/read Founded my medical professionals, QxMD is dedicated to creating high quality, point-of-care tools for practicing health care professionals. Recognized as a leading developer of free medical software for mobile devices, QxMD develops content in cooperation with expert physicians from their respective fields. Desde el fabricante de las aplicaciones 'Lee', 'La Guía de ECG ""y"" Pedi STAT' viene 'Calcular', una calculadora médica de última generación y una herramienta de ayuda a la decisión, la libre disposición de la comunidad médica. También disponible en la web en http://qxmd.com/calculate Las herramientas esenciales en medicina general, medicina interna, cardiología, cirugía, obstetricia, Nefrología, Hematología, Traumatología, Pediatría, Gastroenterología, Neurología, Neurocirugía, respirología, y mucho más. ""Recomendamos a los usuarios médicos tratan la libre Calcular QxMD por primera ..."" -desde iMedicalApps crítica ""Las mejores aplicaciones de la calculadora médica gratuita para el iPhone"" ""Calcular"" se centra en destacar las herramientas que son realmente útiles en la práctica clínica y sirven para impactar diagnóstico, tratamiento o pronóstico determinante. Haciendo de decisiones, no sólo calcular los números ... Caracteristicas • Desarrollado por una colaboración de expertos clínico de diversos orígenes • Convierte recientes publicaciones de investigación en herramientas de mano prácticos - la traducción del conocimiento en su mejor momento • Se adapta automáticamente a su práctica clínica describe a sí mismo • La tecnología única 'Flow pregunta ""le consigue respuestas, rápido • referencias detalladas con la integración Pubmed • exhaustiva y resultados interesantes • Diseño elegante y una interfaz intuitiva • SI y unidades convencionales Más de 300 calculadoras únicas y herramientas de soporte de decisiones Mientras demasiado extensa mencionarlos a todos, he aquí una pequeña muestra de los contenidos incluidos: Reducir y predecir complicaciones perioperatorias • La OMS verificación de la seguridad quirúrgica • Los modelos de predicción para la cirugía cardiaca y la angiografía coronaria guía de tratamiento • Determinar el riesgo cardiovascular y guiar el tratamiento de lípidos utilizando las escalas de riesgo de Framingham y Reynolds • Use la puntuación CHA2DS2-VASc para guiar el tratamiento de la fibrilación auricular • entender mejor el riesgo de sangrado de la anticoagulación en la fibrilación auricular • ACS mediante la puntuación de riesgo TIMI • Quemaduras con la regla de 9s y fórmula de Parkland • La hipernatremia (calcular el déficit de agua) determinar el pronóstico • La insuficiencia cardíaca • linfoma • Síndrome mielodisplástico • mieloma • La glomerulonefritis • Hemodiálisis • EPOC • TIA • La pancreatitis Calcular • El peso corporal ideal, índice de masa corporal y BSA • Fecha de vencimiento y la edad gestacional • Amplia fórmula utilizada en echocardiogropathy y monitorización hemodinámica invasiva • Kt / V en pacientes en diálisis • eTFG con CKD-EPI, de Cockcroft-Gault y MDRD • A-un gradiente Clasificar • La angina de pecho (CCS) • La insuficiencia cardíaca congestiva (NYHA) Gestionar • Lesiones en la cabeza, el cuello, tobillo y la rodilla • TVP y la EP • nódulos pulmonares Escenario • Cáncer de pulmón • Carcinoma de células renales Entender • TTKG (gradiente de potasio transtubular) en la hipopotasemia e hiperpotasemia • Dermatomas Diagnosticar • trombocitopenia inducida por heparina • Endocarditis infecciosa • SDRA • Hepatitis autoinmune Y mucho más...   ¿Quieres seguir el ritmo de la investigación médica? Obtener 'Leer por QxMD' para Android: http://qx.md/read Fundada mis profesionales de la medicina, QxMD se dedica a la creación de alta calidad, en el punto de atención de herramientas para la práctica de los profesionales de la salud. Reconocido como un líder en el desarrollo de software médico gratuita para dispositivos móviles, QxMD desarrolla contenidos en cooperación con médicos expertos desde sus respectivos campos.",9076,4.6,2094,6358,[- bug fixes],"[I love this app.. If you add an option of changing language into Spanish I will give you 5 stars, Estoy teniendo problemas con la calculadora de edad gestacional, fuera de ahi es buena la app, Muy útil. Sobretodo porque es posible utilizarla offline. Buena herramienta tanto psra expertos como para profesionales en formación., Muy buenas calculadoras, El unico problema que le veo es que al iniciar la aplicacion se conecta a internet y en lugares donde no hay señal o se obstruye esta por equipo electronico tarda en iniciar, Gran aporte. Gracias!]"
Touch Surgery,https://play.google.com/store/apps/details?id=com.touchsurgery,"¡El simulador quirúrgico en el que confían más de un 1 millón de profesionales médicos! Comunidad certificada * Guía de procedimientos paso a paso * Controle su progreso* Simulaciones interactivas en 3D * Touch Surgery es el quirófano en su bolsillo. Touch Surgery se apasiona por optimizar el desempeño de los médicos y generar un sinfín de conocimientos que se potencien a nivel global. Personalice su aplicación al elegir las áreas de interés para recibir sugerencias sobre procedimientos y controlar su progreso. Reciba periódicos y artículos de interés que puedan mejorar su experiencia educativa. Principales características - Aprenda cómo operar paso a paso en nuestro modo de capacitación - Experimente entornos quirúrgicos realistas que se crearon con gráficos en 3D de última generación - Evalúe sus conocimientos en el modo ""Prueba"" -Haga un seguimiento de sus resultados y mida su progreso - Comparta sus resultados con nuestra comunidad certificada - Cree una biblioteca personalizada de operaciones - Acceda a una amplia gama de simulaciones en 3D - Aprenda las técnicas de los médicos más reconocidos a nivel mundial Reseñas de usuarios “Es increíble si desea incursionar en el campo médico, especialmente el quirúrgico”. “Me encanta, es una de mis aplicaciones preferidas. Muy buena y educativa. Agreguen más módulos”. Esta aplicación es la mejor para obtener la máxima experiencia en cirugías, sin tener que estar en un quirófano real”. Reseñas de la prensa “Ofrece enormes oportunidades también para el mundo en vías de desarrollo, brindando conocimientos para la cantidad limitada de cirujanos disponibles, y proporcionándoles la capacidad de proveer una atención más variada”- BBC ""Una plataforma educativa móvil que cambia la forma en que aprenden los cirujanos a través de una tecnología novedosa""- Tech Crunch ""Una aplicación quirúrgica de avanzada""- Daily Mail Socios Harvard, Stanford, John Hopkins, Kings College London e Imperial College London. https://www.touchsurgery.com/",4652,4.4,587,3347,"[* Decreased the download size of modules, Thank for using Touch Surgery! This release has seen a huge focus on stability. Thanks to all the people who have been reporting issues., * Fixed crash when attempting to do multiple simulations in one session, * Fixed multiple crash dialogs appearing when crashes occur, We read all reviews and value your feedback greatly. If you need help with any issues please contact support@touchsurgery.com]","[Me gusta.. Pero es una lástima q solo esté en ingles.. Si estaría en castellano sería mejor y le daría las 5 estrellas., Esta muy bueno la verdad que exelente seria mas conocido sino abria que poner seccion, Me encanta la aplicación, se merece las 5 estrellas, no habrá una forma de ver las cirugías o las descripciones en castellano? Muchas gracias, No me deja iniciar, me pone elegir especialidad y después de ahí cuando toco la flecha no hace nada, Uno crea el perfil y luego de elegir la especialidad no deja hacer nada más , ni siquiera deja crear un perfil, Me gustó,pero el que sea en ingles es molesto porque yo aun no se demasiado inglés y no entiendo NADA DE NADA]"
La prueba de embarazo,https://play.google.com/store/apps/details?id=com.jacek.miszczyk.pregnancytestLite,"Piensas si estás embarazada? Comprueba si te ocurren los primeros síntomas. La aplicación analiza tus respuestas y señala la probabilidad del embarazo. Para cada respuesta hay un comentario extra, que te permite enterar precisamente sobre tus síntomas.",4888,3.8,921,2121,[- fixed issues],"[Me dio un 68 % La verdad es que con mi marido lo estamos buscando nos dio el 68 % pero ayer justamente me hice un test de orina y me dio negativo voy a esperar 1 semanita mas ya que me bajo la regla por tan solo 3 dias y lo habitúal es 7 en mi soy super regular y esta vez tuve un atrazo de 5 dias tuve fluido con algo marron por 4 dias peroaun no se.., A mi me dio el 77% y pues soy irregular y tengo. Algunos sintomas como náuseas. Dolor abdominal cansancio y antojos entre otros síntomas me are un tes está buena la app gracias, Me encanto xq dice que tengo el 78% y si lo cre aunque tengo 13 años de edad me encanta la idea de sAber que boy a ser mamá no se lo he dicho a mi novio PERO YO se que se ba a poner muy feliz como lo estoy se las recomiendo chicas hay dios soy laa chava más Feliz del mundo, Esta buena la aplicacion Creo que esta biena hace las preguntas de los sintomas- eso es muy bueno - y creo que si lo estoy pero eaperare hacerme el test y si sale positivo le doy un 5* pero todavia tengo que esperar, ami me dio 82 algo muy bueno porque hecho muchos test de broma y no me han gustado Y pues ahora que éste me dio un resultado medio de 82 Estoy feliz porque quiero y porque me ayudó a superar tantas cosas en el mundo, En serio hay chicas que creen en esto A mi me dio 55 % pero es por que es muy poco lo que paso de concepción a esperar cuando no baja el periodo y después llegan los sintomas ...muchas no tienen sintomas y están embarazadas no hay que creer en esto si tuvieron relaciones sin cuidarse compren un test de embarazo no guiarse por una app que solo ilusiona mas .]"
Tests Auxiliar Enfermería Gratis,https://play.google.com/store/apps/details?id=es.estudionemo.app.testsauxiliarenfermeria,"Prepare sus oposiciones a Auxiliar de Enfermería realizando pequeños tests en sus ratos libres. Realice tests con preguntas oficiales exámenes de oposición y consiga resultados óptimos para presentarse. La app se actualiza con los cambios o nuevas preguntas que aparezcan en nuevas oposiciones. - Incluye un histórico de preguntas oficiales de exámenes de oposiciones a nivel nacional. Preguntas que cubren operaciones administrativas y documentación sanitaria, higiene del medio hospitalario y limpieza de material o promoción de la salud y apoyo psicológico al paciente entre otros temas. - Simulación de tests rápidos de 25 preguntas - Modo apuntes donde poder repasar todas las preguntas una a una - Temario general recogido como apuntes en un solo documento - Estadísticas para llevar un control de sus progresos - Preguntas falladas para el modo repaso, donde se acumulan las preguntas que se fallen - Manejo sencillo e intuitivo - No necesita de conexión a internet para funcionar - Aplicación gamificada que hará más entretenido estudiar para las oposiciones",24,4.4,1,19,[Ampliada compatibilidad con más modelos de móviles para la apertura de los apuntes de oposiciones de auxiliar de enfermería],"[Gracias ya me lo descargué y solo me salen 6 temas no se si esta bien así? otra cosilla,si pudiérais poner test de cada tema sería mucho mejor para repasar antes d hacer los de todos los contenidos. Un saludo., Terminó de hacer el examen y se tilda tengo que reiniciar el celular para poder cerrar o volver al inicio, Me sirve para aprender, Muy útil y fácil de utilizar, Va perfecta en mi Celular, el examen tipo test esta perfecto para repasar materia para las próximas oposiciones. Gracias, Esta bien pero debería a ver mas temario actualizar la aplicación por favor]"
Grupo Sangre Detector Prank,https://play.google.com/store/apps/details?id=dpapps.bloodgroup.scanner.bloodgroupdetector,"Siempre consulte a un médico para sus problemas relacionados con la salud Todo el mundo quiere ahorrar su tiempo mediante la búsqueda de soluciones de problemas diferentes. La mayoría de la gente no sabe acerca de su grupo sanguíneo, ya que ni siquiera tienen tiempo para ir a laboratorio para análisis de sangre. El uso de esta aplicación usted no tiene que preocuparse por el laboratorio que va para la comprobación de su grupo sanguíneo. Aquí estamos introduciendo aplicación Detector del grupo sanguíneo para todos los usuarios de Android que detecta su grupo de sangre falsa que muestra resultados aleatorios con sólo escanear las huellas dactilares. Esta es una interesante aplicación para hacer la diversión con sus amigos y familiares. Sólo tiene que instalar esta aplicación y tienen un montón de diversión con ellos. Hay cuatro grupos principales de sangre (tipos de sangre): A, B, AB y O. Su grupo sanguíneo es determinado por los genes que hereda de sus padres. Cómo utilizar esta aplicación: * Seleccione el género * Ahora aparecerá una nueva pantalla. Ponga su dedo en el área de la huella digital. * Espere hasta que se complete el escaneo dedo. * Un resultado aleatoria que representa el tipo de grupo sanguíneo aparecerá en pantalla nueva como la digitalización completa. Nota: Detector de grupo sanguíneo Prank es sólo por diversión y entretenimiento. No es posible comprobar que el grupo sanguíneo real a través de dispositivos móviles. Todos los resultados son generados aleatoriamente y falso. Por favor, vaya a un laboratorio para determinar su grupo sanguíneo real.",3766,3.1,325,1555,[Quick fixes],"[Son unos ilusos Aver no quiero ofender a nadie,pero deveras creen esta app?yo lo tengo mas facil...me hago un pinchazo y ya...es lo mas normal?, La he testeado 10 veces y me da resultados distintos, solo salio una vez B+, fue el momento que mas se acerco pues mi tipo de sangre en B-. Esta aplicación no funciona, o no me funciona., Q cosa tan mala Primero había púes to mi dedo y salio o-ve y después lo volví a poner y salio a-ve que cosa de mentirosa, Mentira podrida . Sé perfectamente es mi grupo sanguíneo y no ha acertado. Puede resultar peligroso fiarse de esta basura de juego, No sirve de nada es una mie*** es una farsa yo se mi grupo sanguineo puse el dedo varias veces y me tocaban todos diferentes HORRIBLE, Jajaja ILUSOS! A todos los que comentaron, les pregunto... En serio pensaban que era verdad los q hace la app?]"
Calculadora de embarazo,https://play.google.com/store/apps/details?id=com.mtlab.utilities.duedatecalc,"Descargar esta calculadora de embarazo en el dispositivo y siempre será capaz de determinar la fecha de concepción, qué tan avanzada se encuentra y la fecha aproximada del parto de su bebé. Los cálculos que se proporcionan son basados en estimaciones promedio.",1790,4.1,365,998,"[- Añadido soporte para pantallas de gran tamaño (tabletas), Versión 2.2, - Corregidos problemas menores con pantallas pequeñas]","[Excelente aplicación No ocupa mucho espacio, te dice lo que necesitas saber es muy concreta. Sólo una observación: no creo que debería decir en la descripción VENCIMIENTO DE SU BEBÉ, sino NACIMIENTO DE SU BEBÉ. Gracias la desinstalo porque mi bebé ya nació y todos los datos muy acertados. Saludos a los desarrolladores., La verdad es bastante práctica, pero en lo personal no confío mucho, debido a que te pide muy poca información. Entonces habrá mas margen de error., Me encanta Me duelen mucho las piernas, me encuentro muy cansada duermo mucho no se si será porque estoy embarazada o no., Utilisima! Excelente aliado en la practica obstetrica diaria, ahorra tiempo y calculos engorrosos ademas de ser sencilla y precisa... Como medico formandome en el area de obstetricia lo recomiendo por igual a estudiantes y colegas, Excelente! Es de mucha utilidad y anda muy bien! Además de calcular las semanas de embarazo también calcula la fecha posible de parto y para quienes no están embarazadas calcula la fecha de involución!, Excelente aplicacion Muy útil y práctica para valoración obstétrica... En este caso para edad gestacional... Muy exacta... corroborado por ultrasonido.]"
MI CALCULADORA DE OVULACIÓN,https://play.google.com/store/apps/details?id=com.ecare.ovulationcalculator,"Aproximadamente 500.000 descargas en todo el mundo. Algunas opiniones: « Increíble, me encanta esta aplicación, es fabulosa. » « Me quedé embarazada a la primera con esta aplicación. » « Muy buena información, una composición clara y sencilla, fácil de utilizar. » Mi Calculadora de Ovulación es una aplicación sencilla y fácil de utilizar para calcular el momento de la ovulación y determinar el período fértil. Registrando simplemente el primer día del último período menstrual y el número medio de días de su ciclo menstrual, se le indicará la fecha de su ovulación y su período fértil. Las relaciones íntimas durante el período fértil implican una posibilidad enormemente mayor de concebir. La app también indica la fecha prevista del parto si consigue concebir en ese momento. Esta app está diseñada para Android táctiles.",10683,3.9,1825,5486,"[1. You can now print or email the History and the Personal Notes Page., 2. Dates standardized to month, date and year and made clearer.]","[Quiero un bebé por ahorita 3 estrellas Mmmm llevo ya un año y medio esperando bb estoy espezando a desesperarme bueno acabo de bajar la aplicación espero que me funcione veo sus comentarios y eso me a hecho no perder las esperanzas espero en ti señor, Le explico con mi caso la media de días que dura la menstruación: en noviembre mi primer día de periodo fue el 21 y en diciembre fue el 27 cuento los días desde el 21 de noviembre hasta el 27 de diciembre me da un total de 36 días que son los días q deben de pasar para llegar mi próxima menstruación mi ciclo es de 36 algunas son de 28 y así varia en cada mujer, coloque 36 en el media de días que dura la menstruación, lo hice en los días que me dijo y quede embarazada en el ultimo día, muy buena lo recomiendo, yo tengo ovarios poliquístico y llevaba un tiempo intentando, por eso le doy 5 estrellas excelente aplicación, Exelente herramienta. Yo siempre he sido muy irregular y cada. Mes me tocaba calcular la ovulacion puesto que no siempre me llegaba el mismo día y bueno utilizando esta herramienta.. Ahora estoy embarazada tengo dos meses y estoy feliz.. La recomiendo, Pesima Para que funcione bien hay que instalar mas de 5 aplicaciones para que funcionen que todo este en una sola seria estupendo!, Me encanto Con esta calculadora logre tener a mi bebe, en la primera quede embarazada lamentablemente tuve una perdida a los cinco meses de embarazo, y luego en la segunda también me resultó y esta es z si tuve mi bebe, Una pregunta Ai sale tres fechas que tengo que acer relaciones sexuales esos tres días o no esplicarme porfavol que quiero ser madre por favor]"
"Órganos 3D (anatomía)",https://play.google.com/store/apps/details?id=com.androiddevelopermx.blogspot.organos3d,"Muestra un modelo tridimensional de los órganos del cuerpo humano y una descripción de todos ellos. Esta aplicación está pensada como complemento al estudio de la anatomía en medicina, biología u otras. Al tocar cada órgano como el corazón, cerebro, pulmones, sistema reproductor, hígado, intestino, ovarios, testículos, estomago, riñón, etc. se muestra la información. Información anatómica práctico, útil y valioso en su palma. Referencia a la educación primaria, la escuela secundaria, la universidad o la cultura en general. Características: * Lenguajes soportados Inglés, francés, Portugués, español. * Zoom. * Rotar en 3D * Ocultar o mostrar la información. * Intercalar entre órganos masculinos y femeninos. * Actualizaciones gratuitas. * Cada órgano anatómico se muestra de un color diferente. * Descripciones muy detalladas. * Hardware Recomendado   Procesador de 1 GHz o más.   1 GB de RAM o más.   Pantalla de alta definición.",29767,4.2,6114,17868,"[* Corregido el error del botón de auto-rotar., * Mejorar de rendimiento., * Pequeños cambios de color., * Cambios en las texturas y la iluminacion.]","[Identifica fácil y claramente lis órganos del cuerpo humano. La utilizaré de apoyo en mis clases. Excelente trabajo!, Muy buenisima, realmente sorprendente. Me gustaría que le agreguen movimiento del funcionamiento en cada sistema y para niños también. Pero muy buena app, Buena se puede mejorar, Esta chulisimooooooooooooooooooooooooooooooooooooo ???????, WoW! Excelente, una buena oportunidad para ampliar nuestro ímpetu., Excelente material visual de apoyo para tanta teoría ...sería muy útil agregar el funcionamiento de cada sistema como una opción más !! Felicitaciones a los creadorer de la app]"
Periodo Menstrual - Calendario,https://play.google.com/store/apps/details?id=com.smsrobot.period,"Periodo Menstrual - Calendario Lilly y seguimiento de tu ovulación Lilly te ayuda a realizar un seguimiento de tu ciclo y a predecir con fiabilidad tu próxima menstruación, días fértiles y ovulación. ¡Que tu período nunca te pille por sorpresa nunca más! Para las mujeres intentando concebir tenemos un calculador de ovulación que predice tu ventana fértil y te ayuda a quedar embarazada más rápido. Hasta puedes ingresar notas diarias y seguir tus síntomas, estados de ánimo y relaciones sexuales. Lilly descubre de tus inputs y hace una mejor predicción de tus futuros períodos y ventanas fértiles con el transcurso del tiempo, utilizamos todos los actualizados métodos científicos que tenemos disponible para hacer el seguimiento y planificar tu ciclo. Lilly es fácil de usar, únicamente debes teclear un solo botón una vez al mes, el primer día de tu período y relajarse, Lilly hará todo el trabajo pesado para ti. Otra cosa que le destaca a Lilly entre los demás es la vibrante comunidad femenina llamada Charla de chicas. Hazte parte de nuestra comunidad de mujeres de apoyo y toma el control de tu salud, ayuda a otras con tu experiencia y obtén consejos y ayuda cuando lo necesites. Lilly te puede ayudar con estas características: - notificaciones oportunas sobre la próxima menstruación, ventana fértil, ovulación y cuando tu período está retrasado - recordatorios de anticonceptivos, que incluye la protección con píldora, parche y anillo - vista única del calendario anual que te permite planificar con antelación y ver si tu período coincidirá en la fecha de un evento o una cita, o durante tus vacaciones - protección de tu privacidad con código PIN - seguimiento de tu temperatura basal con dos dígitos decimales de precisión y gráficos fáciles de usar - seguimiento de relaciones sexuales protegidas o no protegidas ¡Queremos saber de ti! Envíanos tus comentarios y sugerencias por correo electrónico a android@smsrobot.com.",114385,4.5,23850,76315,"[¡Hola, chica! Soy Lilly y me gustaría agradecerte por usar mi aplicación y haciéndola No. 1 entre las aplicaciones médicas en 61 países en todo el mundo. ¡Esto es increíble!, ¡Disfruta de la aplicación y qué nuestra voz se escuche!, Si todavía no oíste, estoy encargada de la aplicación que a partir de ahora llevará mi nombre., Lilly, Besos,, Estoy haciendo un blog donde publicaré diariamente artículos sobre diferentes temas - salud reproductiva, fertilidad, fitness, belleza, relaciones, aficiones...]","[Mi app fav. La uso desde hace más de 2 años y nunca he tenido problema con ella??, En general bien, fácil de usar. En referencia a otras apps, le echo en falta las estadísticas y/o gráficos para visualizar cada cuanto viene el periodo (así descubrí que tenía un ovario puntual y otro que no), FANTÁSTICA ? 2 años usándola no soy regular pero con la app llevo un control exacto de mis ciclos 100% recomendada, Me encanta la aplicación le agregaría sólo más métodos de protección por ejemplo la opción de poner que dia toca inyección y que tenga alarma. Eso, sólo sugerencia, Lo que más me molesta es que no me recuerda mis pastillas pero en general es buena!, Le doy un tres porque no me gusto porque yo tengo otra aplicacion llamada mi calendario y es muy buena te avisa cuando termina y cuando te viene pero para otras peersonas como en los comentarios es muy buena porque ellas ya las llevan usando mucho como 2 años yo no yo tengo que me funciona pero es muy linda y toda la cosa vdd :)]"
Menstrual Calendar,https://play.google.com/store/apps/details?id=com.guillaumegranger.mc,"- Track period, ovulation, temperature, weight & more - Customizable calendar with icons - Customizable symptoms - Cycle Report + Weight Chart + Basal Body Temperature Chart - Smart Forecast: use historical data to forecast menstruation and ovulation - Desktop widget - Password protection - Notifications - Pregnancy Mode - Backup/Restore data Time limited trial - Track período, la ovulación, la temperatura, el peso y más - Calendario personalizable con iconos - Síntomas personalizables - Ciclo de Informe + Tabla de Peso + Tabla de Temperatura Corporal Basal - Pronóstico inteligente: utilizar datos históricos para predecir la menstruación y la ovulación - Desktop Widget - La protección de contraseña - Notificaciones - Embarazo Mode - Copia de seguridad / restauración de datos Tiempo limitado juicio",26957,4.1,5805,15003,"[- Fixed restore data not working in some cases, v2.0.0, - Custom measures (like weight/temperature), v2.0.1, - Pregnancy Mode, - Fixed symptom value reordering, - Removed unused device permissions, - Easier backup / restore through email, - UI Improvements and bug fixes, - Pin Code protection]","[Que mala aplicación, la tenia en mi iphone estaba bien dure con ella como 1 año ahora tengo un Android y solo me duro un mes!! Deberas que pesimo servisio ninme deja mover nda qe segun por qe se me acabo el limite!! La peor aplicación, No te avisan que es una versión de prueba y cuando se te acaba el tiempo (inesperado xq no te dicen de cuanto tiempo es la prueba) te dicen que tenes que pasarte a premium y te dejan con los datos en banda. Si no podes pagar la ver. paga tenes otra vez que buscar una app nueva y perdes los datos que venias juntando. Esta app tiene lo básico pero doy una estrella por no avisar que es de prueba y hacerme perder el tiempo!, Muy buena hasta que te pide actualizar a versión pro La tuve por más de un año, me resultó muy segura para calcular los días, además de los recordatorios. Muy efectiva. Ahora me dice que para desbloquearla debe actualizar a versión pro, alguien sabe como solucionar ese problema? Gracias, Decepcionada! Era la mejor aplicación que habia , pero resulta que ahora me pide que obligatoriamente la pase a pro si quiero seguir usándola.. Siendo que por algo es la versión gratuita.. Que pena! Deberé cambiar a otra :(, Se bloqueo y no me dejan acceder a mis notas!!!! Después de más de 6 meses de usarla se bloquea y no me deja ni acceder a mis notas! Como es eso posible!!! Es absurdo!! Son mis notas!!! No les pertenecen!! Son escritos y notas muy importantes para mi!! Yo no he firmado ningún contrato de sucesión de derechos de autor y no me pueden obligar a pagar para poder acceder a mis notas!! Exijo que me dejen descargar mis datos y notas!!! Es lo más justo!!!..., Pagar 3 veces Cambio de mv y vuelta a pagar? Por tercera vez? Debería instalarse la versión pro registrando un número de telefono porque...]"
